estimate_id,estimate_number,version,customer_id,archetype,status,scope_description,exclusions,assumptions,total,cost_estimate,markup_pct,tax_amount,created_at,sent_at,valid_until,accepted_at,project_id,narrative_tag
EST-0FEEFEE7,EST-0032,1,CUST-008,kitchen_remodel,accepted,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,86723.17,52937.88,0.6382,0.0,2024-08-23,2024-08-26,2024-09-22,2024-09-10,PROJ-21938DC6,
EST-93B45255,EST-0033,1,CUST-004,kitchen_remodel,declined,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,87910.05,54374.41,0.6168,0.0,2024-08-08,2024-08-12,2024-09-07,,,
EST-B21443B7,EST-0034,1,CUST-009,deck_addition,declined,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,62447.11,36272.32,0.7216,0.0,2024-08-18,2024-08-19,2024-09-17,,,
EST-C5114BE4,EST-0035,1,CUST-005,deck_addition,declined,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,75809.19,46297.56,0.6374,0.0,2024-08-14,2024-08-16,2024-09-13,,,
EST-B7294D32,EST-0036,1,CUST-007,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3754.03,1562.29,1.4029,0.0,2024-09-19,2024-09-20,2024-10-19,2024-09-30,PROJ-32E69088,
EST-9C154F08,EST-0037,1,CUST-003,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,32739.09,20147.1,0.625,0.0,2024-09-12,2024-09-14,2024-10-12,2024-09-17,PROJ-CB16FC8A,
EST-07E0AE68,EST-0038,1,CUST-010,deck_addition,accepted,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,60757.48,36666.69,0.657,0.0,2024-09-05,2024-09-09,2024-10-05,2024-09-27,PROJ-87ABD382,
EST-7824E3AD,EST-0039,1,CUST-010,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2831.38,1276.35,1.2183,0.0,2024-09-04,2024-09-08,2024-10-04,2024-09-24,PROJ-6FBC8E65,
EST-F8B86921,EST-0040,1,CUST-009,kitchen_remodel,declined,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,89050.38,60128.02,0.481,0.0,2024-09-14,2024-09-17,2024-10-14,,,
EST-F04D356F,EST-0041,1,CUST-011,repair_service,expired,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,4120.93,1572.49,1.6206,0.0,2024-10-28,2024-11-01,2024-11-27,,,
EST-48DE630F,EST-0042,1,CUST-013,new_construction,accepted,New single-family home construction per plans and specifications.,"Lot/land, financing, furniture, landscaping beyond final grade.",Plans are fully permitted. Utility connections available at property line.,557961.0,418762.27,0.3324,0.0,2024-10-03,2024-10-04,2024-11-02,2024-10-10,PROJ-7FE51EFE,
EST-BFF22041,EST-0043,1,CUST-003,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3666.77,1983.88,0.8483,0.0,2024-10-21,2024-10-25,2024-11-20,2024-11-04,PROJ-47F55F82,
EST-E70CF2BC,EST-0044,1,CUST-007,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3765.32,1752.38,1.1487,0.0,2024-10-17,2024-10-18,2024-11-16,2024-11-02,PROJ-B57123B8,
EST-F980EA86,EST-0045,1,CUST-010,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,29393.63,19221.84,0.5292,0.0,2024-11-22,2024-11-26,2024-12-22,,,
EST-E37245DC,EST-0046,1,CUST-004,kitchen_remodel,expired,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,87509.66,61559.57,0.4215,0.0,2024-11-16,2024-11-19,2024-12-16,,,
EST-0248F102,EST-0047,1,CUST-002,repair_service,declined,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,4336.31,2116.26,1.049,0.0,2024-11-13,2024-11-16,2024-12-13,,,
EST-A51A81EB,EST-0048,1,CUST-001,repair_service,declined,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3033.86,1285.44,1.3602,0.0,2024-11-18,2024-11-20,2024-12-18,,,
EST-226E2846,EST-0049,1,CUST-006,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,25841.53,16940.12,0.5255,0.0,2024-12-27,2024-12-30,2025-01-26,,,
EST-8CBF6407,EST-0050,1,CUST-013,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,4194.08,1437.7,1.9172,0.0,2024-12-14,2024-12-17,2025-01-13,2024-12-28,PROJ-5B2FD347,
EST-E74ECC30,EST-0051,1,CUST-013,new_construction,expired,New single-family home construction per plans and specifications.,"Lot/land, financing, furniture, landscaping beyond final grade.",Plans are fully permitted. Utility connections available at property line.,196000.0,152908.65,0.2818,0.0,2024-12-26,2024-12-27,2025-01-25,,,
EST-AAD3BC80,EST-0052,1,CUST-005,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,28010.8,17170.2,0.6314,0.0,2025-01-14,2025-01-18,2025-02-13,2025-01-24,PROJ-6924BF0C,
EST-0E7F8D93,EST-0053,1,CUST-010,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,22604.86,15341.75,0.4734,0.0,2025-01-05,2025-01-07,2025-02-04,2025-01-20,PROJ-A0674B13,
EST-4EF0B3E2,EST-0054,1,CUST-001,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,26612.02,18249.8,0.4582,0.0,2025-02-10,2025-02-11,2025-03-12,,,
EST-50853B67,EST-0055,1,CUST-004,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,29884.45,17895.36,0.67,0.0,2025-02-14,2025-02-17,2025-03-16,2025-02-27,PROJ-C0F53A71,
EST-3077444E,EST-0056,1,CUST-013,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,4702.28,2128.69,1.209,0.0,2025-02-10,2025-02-13,2025-03-12,2025-02-22,PROJ-5CF69BF0,
EST-50693183,EST-0057,1,CUST-012,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3270.23,1744.05,0.8751,0.0,2025-03-28,2025-04-01,2025-04-27,2025-04-10,PROJ-675A72AC,
EST-240A651B,EST-0058,1,CUST-004,deck_addition,expired,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,43477.76,28319.35,0.5353,0.0,2025-03-05,2025-03-07,2025-04-04,,,
EST-BAE135F7,EST-0059,1,CUST-011,repair_service,declined,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3996.24,1431.25,1.7921,0.0,2025-03-09,2025-03-12,2025-04-08,,,
EST-935E0142,EST-0060,1,CUST-001,repair_service,expired,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,4248.97,1857.91,1.287,0.0,2025-03-25,2025-03-27,2025-04-24,,,
EST-8D204BC7,EST-0061,1,CUST-004,deck_addition,accepted,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,69957.59,41331.02,0.6926,0.0,2025-04-16,2025-04-20,2025-05-16,2025-04-30,PROJ-D9F63E7F,
EST-14293E91,EST-0062,1,CUST-001,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2871.17,1236.92,1.3212,0.0,2025-04-02,2025-04-06,2025-05-02,2025-04-18,PROJ-47FB71CB,
EST-8BD3826B,EST-0063,1,CUST-012,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2647.15,1426.24,0.856,0.0,2025-04-26,2025-04-27,2025-05-26,2025-05-17,PROJ-42EE4ECF,
EST-A725F3B6,EST-0064,1,CUST-010,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,37858.85,25930.69,0.46,0.0,2025-04-04,2025-04-08,2025-05-04,,,
EST-4CC4EB88,EST-0065,1,CUST-013,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2793.12,1255.73,1.2243,0.0,2025-05-18,2025-05-19,2025-06-17,2025-05-27,PROJ-786B3E70,
EST-29EAFF20,EST-0066,1,CUST-010,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,40489.51,24291.5,0.6668,0.0,2025-05-12,2025-05-15,2025-06-11,2025-05-20,PROJ-A0CF38DF,
EST-ADA2B39F,EST-0067,1,CUST-002,bathroom_remodel,declined,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,47476.66,27529.66,0.7246,0.0,2025-05-02,2025-05-06,2025-06-01,,,
EST-35C1F735,EST-0068,1,CUST-002,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,29589.13,17042.95,0.7362,0.0,2025-05-23,2025-05-25,2025-06-22,,,
EST-35B2AAF5,EST-0069,1,CUST-001,new_construction,declined,New single-family home construction per plans and specifications.,"Lot/land, financing, furniture, landscaping beyond final grade.",Plans are fully permitted. Utility connections available at property line.,729126.05,607130.82,0.2009,0.0,2025-05-05,2025-05-09,2025-06-04,,,
EST-DD227CB0,EST-0070,1,CUST-011,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3324.59,1437.18,1.3133,0.0,2025-06-15,2025-06-16,2025-07-15,2025-07-03,PROJ-35A930A2,
EST-9C2B32B8,EST-0071,1,CUST-004,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2214.82,848.89,1.6091,0.0,2025-06-29,2025-07-01,2025-07-29,2025-07-05,PROJ-24C0FD95,
EST-BF2CC447,EST-0072,1,CUST-013,tenant_improvement,accepted,"Commercial tenant improvement per plans including demo, framing, MEP, finishes.","FF&E, signage, low-voltage data cabling (unless noted), security systems.",Base building in good condition. Existing HVAC capacity adequate for new layout.,103662.61,71614.22,0.4475,0.0,2025-06-04,2025-06-06,2025-07-04,2025-06-24,PROJ-F14B78F9,
EST-9E38C7B4,EST-0073,1,CUST-001,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2756.04,1481.65,0.8601,0.0,2025-06-15,2025-06-17,2025-07-15,2025-07-06,PROJ-927A4D7C,
EST-D330E275,EST-0074,1,CUST-012,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2380.41,787.8,2.0216,0.0,2025-06-22,2025-06-25,2025-07-22,2025-07-03,PROJ-FA49F8EA,
EST-16DBDA40,EST-0075,1,CUST-002,deck_addition,accepted,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,87455.84,53775.79,0.6263,0.0,2025-06-23,2025-06-24,2025-07-23,2025-06-30,PROJ-29C62C6C,
EST-AC3B3DFA,EST-0076,1,CUST-004,repair_service,expired,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3192.58,1460.94,1.1853,0.0,2025-06-02,2025-06-03,2025-07-02,,,
EST-4ECB7E0B,EST-0077,1,CUST-013,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3087.91,1631.49,0.8927,0.0,2025-07-07,2025-07-10,2025-08-06,2025-07-17,PROJ-DC11FEBD,
EST-7D54C42D,EST-0078,1,CUST-003,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,37582.2,23291.64,0.6135,0.0,2025-07-11,2025-07-13,2025-08-10,2025-07-23,PROJ-18A853FB,
EST-DA7540CA,EST-0079,1,CUST-008,room_addition,expired,"New room addition including foundation, framing, roofing, MEP rough-ins, insulation, drywall, trim, and flooring.","Furniture, window treatments, landscaping restoration.",Permit approval within 4 weeks of submission. No unforeseen underground obstructions.,202707.5,135962.13,0.4909,0.0,2025-07-27,2025-07-28,2025-08-26,,,
EST-C21544E8,EST-0080,1,CUST-010,new_construction,expired,New single-family home construction per plans and specifications.,"Lot/land, financing, furniture, landscaping beyond final grade.",Plans are fully permitted. Utility connections available at property line.,388417.56,307536.11,0.263,0.0,2025-07-25,2025-07-28,2025-08-24,,,
EST-6AEC4815,EST-0081,1,CUST-011,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2268.83,818.45,1.7721,0.0,2025-07-18,2025-07-21,2025-08-17,2025-07-25,PROJ-C9F30E02,
EST-EF35E3DB,EST-0082,1,CUST-008,kitchen_remodel,expired,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,118332.97,72861.35,0.6241,0.0,2025-07-25,2025-07-28,2025-08-24,,,
EST-9E0AC0A5,EST-0083,1,CUST-011,new_construction,expired,New single-family home construction per plans and specifications.,"Lot/land, financing, furniture, landscaping beyond final grade.",Plans are fully permitted. Utility connections available at property line.,475380.08,383647.67,0.2391,0.0,2025-08-21,2025-08-22,2025-09-20,,,
EST-37C7D5C9,EST-0084,1,CUST-005,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2931.2,1553.67,0.8866,0.0,2025-08-21,2025-08-23,2025-09-20,2025-09-04,PROJ-33E78F5F,
EST-7E051118,EST-0085,1,CUST-010,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,28211.8,17603.28,0.6026,0.0,2025-08-17,2025-08-20,2025-09-16,2025-09-09,PROJ-FA1A4F40,
EST-9FDBE47D,EST-0086,1,CUST-001,kitchen_remodel,accepted,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,122900.5,80732.93,0.5223,0.0,2025-08-02,2025-08-03,2025-09-01,2025-08-13,PROJ-0294BE41,
